Date : 2025-05-17 17:46:20
Directory : c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src
Total : 175 files,  12319 codes, 252 comments, 2707 blanks, all 15278 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Kontakt\Kontakt.jsx                                                | JavaScript JSX |         26 |          1 |         12 |         39 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\LiiduKirjeldus\LiiduKirjeldus.css                                  | PostCSS        |         29 |          0 |          5 |         34 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\LiiduKirjeldus\LiiduKirjeldus.jsx                                  | JavaScript JSX |         95 |          2 |         38 |        135 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Components\LiikmeKirjeldus.css                             | PostCSS        |        318 |          1 |         61 |        380 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Components\LiikmeKirjeldus.jsx                             | JavaScript JSX |        219 |         11 |         64 |        294 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Components\LiikmeTile.css                                  | PostCSS        |        135 |          2 |         38 |        175 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Components\LiikmeTile.jsx                                  | JavaScript JSX |         46 |          0 |         17 |         63 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Components\LiikmeteGrid.css                                | PostCSS        |         55 |          1 |         16 |         72 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Components\LiikmeteGrid.jsx                                | JavaScript JSX |         25 |          1 |         10 |         36 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Content\liikmeteKirjeldused.json                           | JSON           |        112 |          0 |          1 |        113 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Design Elements\arrow left white.svg                       | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Design Elements\arrow left yellow.svg                      | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Design Elements\arrow right white.svg                      | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Design Elements\arrow right yellow.svg                     | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Design Elements\empty.svg                                  | XML            |          1 |          0 |          1 |          2 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Design Elements\quit icon activated.svg                    | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Design Elements\quit icon.svg                              | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Liikmed.css                                                | PostCSS        |         33 |         12 |          5 |         50 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Liikmed\Liikmed.jsx                                                | JavaScript JSX |         79 |          1 |         23 |        103 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Pohikiri\Components\PohikiriSisu.jsx                               | JavaScript JSX |         41 |          0 |         19 |         60 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Pohikiri\Pohikiri.jsx                                              | JavaScript JSX |         20 |          1 |         15 |         36 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Symboolika\Symboolika.jsx                                          | JavaScript JSX |         95 |          2 |         38 |        135 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\Components\Syndmus.css                               | PostCSS        |        117 |          1 |         28 |        146 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\Components\Syndmus.jsx                               | JavaScript JSX |         55 |          4 |         28 |         87 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\Components\Syndmused.css                             | PostCSS        |         15 |          1 |          2 |         18 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\Components\Syndmused.jsx                             | JavaScript JSX |         22 |          0 |         14 |         36 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\Content\Syndmused.json                               | JSON           |        261 |          0 |          1 |        262 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\Design elements\FlagIcon.svg                         | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\Design elements\WatchIcon.svg                        | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\Design elements\arrow left black.svg                 | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\Design elements\arrow left deactivated.svg           | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\Design elements\arrow left yellow.svg                | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\Design elements\arrow right black.svg                | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\Design elements\arrow right deactivated.svg          | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\Design elements\arrow right yellow.svg               | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\SyndmusteList.css                                    | PostCSS        |         34 |          0 |          4 |         38 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\SyndmusteList\SyndmusteList.jsx                                    | JavaScript JSX |         52 |          2 |         24 |         78 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Components\UudisLehtBigTile.css                          | PostCSS        |         99 |          1 |         19 |        119 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Components\UudisLehtBigTile.jsx                          | JavaScript JSX |         65 |          5 |         28 |         98 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Components\UudisLehtGalerii.css                          | PostCSS        |         39 |          1 |          8 |         48 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Components\UudisLehtGalerii.jsx                          | JavaScript JSX |         82 |          1 |         19 |        102 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Components\UudisLehtGaleriiTile.css                      | PostCSS        |         45 |          1 |         14 |         60 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Components\UudisLehtGaleriiTile.jsx                      | JavaScript JSX |         16 |          0 |          5 |         21 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Components\UudisLehtHeader.css                           | PostCSS        |         66 |          0 |         10 |         76 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Components\UudisLehtHeader.jsx                           | JavaScript JSX |         53 |          0 |         18 |         71 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Components\UudisLehtVaataVeel.css                        | PostCSS        |         84 |          1 |         15 |        100 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Components\UudisLehtVaataVeel.jsx                        | JavaScript JSX |         71 |          3 |         21 |         95 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Content\Sisu.jsx                                         | JavaScript JSX |         33 |         84 |          8 |        125 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Design elements\arrow left white.svg                     | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Design elements\arrow left yellow.svg                    | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Design elements\arrow right white.svg                    | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Design elements\arrow right yellow.svg                   | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Design elements\plus icon activated.svg                  | XML            |          4 |          0 |          1 |          5 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Design elements\plus icon.svg                            | XML            |          4 |          0 |          1 |          5 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Design elements\quit icon activated.svg                  | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\Design elements\quit icon.svg                            | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\UudisLeht.css                                            | PostCSS        |         35 |          0 |          5 |         40 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\UudisLeht\UudisLeht.jsx                                            | JavaScript JSX |         49 |          2 |         14 |         65 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Uudised\Components\UudisedTile.css                                 | PostCSS        |        144 |          1 |         33 |        178 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Uudised\Components\UudisedTile.jsx                                 | JavaScript JSX |         64 |          4 |         28 |         96 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Uudised\Components\UudisedTilesGrid.css                            | PostCSS        |         43 |          1 |          9 |         53 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Uudised\Components\UudisedTilesGrid.jsx                            | JavaScript JSX |         30 |          2 |         16 |         48 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Uudised\Content\Uudised.json                                       | JSON           |        110 |          0 |          1 |        111 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Uudised\Uudised.css                                                | PostCSS        |         36 |          0 |          5 |         41 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Uudised\Uudised.jsx                                                | JavaScript JSX |         47 |          3 |         16 |         66 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\assets\General\facebook logo white.svg                                        | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\assets\General\faceook logo yellow.svg                                        | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\assets\General\instagram logo white.svg                                       | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\assets\General\instagram logo yellow.svg                                      | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\assets\General\must valge bg logo ajutine.svg                                 | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\assets\react.svg                                                              | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\hooks\UseIsTouchDevice.jsx                                                    | JavaScript JSX |         16 |          1 |          6 |         23 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\index.css                                                                     | PostCSS        |        345 |         10 |         74 |        429 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\main.jsx                                                                      | JavaScript JSX |          9 |          0 |          2 |         11 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\tests\example.test.jsx                                                        | JavaScript JSX |          7 |          0 |          1 |          8 |
| Total                                                                                                                                                              |                |     12,319 |        252 |      2,707 |     15,278 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
